	Site	Habitat	PSM	long	lat	Elevation	MAT	MAP	TP	AP	pH	EC	NH4	NO3	WSOC	DOC
81	LNQCZ	Mined land	4.036028867	123.58344	40.71797	285	6.5	886	1554.080925	6.829082623	7.751	0.764	0.06412046	1.265532003	111.975	0
82	JXCMS	Mined land	4.035953413	115.8266717	29.68796833	40	17.3	1478	317.7723547	4.313742199	2.603	4.969	2.262037434	0	8.4335	15.6905
83	FJZJS	Mined land	4.010236135	116.3897617	25.20264333	428	19.7	1682	223.8182214	0.799770664	3.759	1.356	0.090688343	0	8.014	0
84	YNLP	Mined land	4.008577096	99.38822	26.39426167	2352	13.7	1152	191.9420079	0.459374233	7.706	0.797	0.028631755	1.431005044	181.87	0
85	NMGMD	Mined land	4.004787241	116.5500433	44.19548333	1157	1	312	991.9065883	12.5224035	3.353	3.845	1.120697248	25.98808505	56.939	0
86	XJQXHL	Mined land	3.987147302	89.669495	46.81069333	1013	3	164	1321.407673	0.72605238	8.792	2.289	0.161126076	48.50190039	49.9775	12.3605
87	JXYK	Mined land	3.976590178	115.6382683	26.21894667	222	19	1580	212.1256111	2.436934365	6.569	2.544	0.913219451	2.707615411	2.3474	5.319025
88	JXWS	Mined land	3.948231847	115.6555567	29.749905	76	17	1460	88.4320313	4.472526954	7.839	3.182	0.652637656	0.80435974	8.775	18.1451
89	SAAXFXSC	Mined land	3.934424879	106.602385	33.89311667	1350	10.1	758	28.40057153	0.371083416	8.292	1.079	0.050905239	3.600060664	6.48585	29.30666667
90	XJHM	Gobi	3.907906149	92.61388667	42.13221167	600	11.6	25	524.4694332	3.636928768	7.591	19.706	2.223879176	129.0821745	63.324	0
91	NMGDS	Mined land	3.896107936	107.0452567	41.09751167	1136	7.2	129	632.3806257	0.621506892	6.952	6.232	0.955977389	72.68604506	2.71715	0
92	JSYM	Mined land	3.883292782	118.9583117	32.16564667	5	15.6	996	56.19514379	0.292349755	3.433	12.602	3.140818336	0	34.28265	51.0215
93	JXYP	Mined land	3.83873192	117.70903	28.20952833	155	18.4	1806	323.7933881	2.474225523	7.457	1.128	0.36817261	0.845756323	1.12087	35.208925
94	XJHM	Mined land	3.809518735	92.65053167	42.12512833	561	11.7	25	469.4910606	5.055886523	8.845	15	0.437345216	306.8271033	16.27	37.72245
95	ZJSY	Mined land	3.776641806	119.8209667	30.11114333	85	16.5	1406	70.73363876	1.406696273	7.589	2.154	0.693502929	2.577672737	4.6275	25.923905
96	GZLS	Mined land	3.745107055	104.0146483	26.75060667	1723	11.9	899	98.22688109	2.252363807	2.902	6.82	2.395751235	0	133.67	118.6781
97	HNSKS	Mined land	3.739490397	112.571115	26.54469	124	18.1	1410	797.8082543	2.479384651	3.365	1.321	2.007774382	0	5.60815	0
98	HBFS	Mined land	3.738260314	115.476805	29.830675	40	17.2	1414	326.9308236	0.826581501	7.639	2.385	0.869588106	8.175414019	5.24146	0
99	XJASL	Mined land	3.733014297	86.34166833	48.25036833	846.5	3.25	237	684.4142	12.60673265	7.4425	0.629	1.424329824	131.2751751	130.4075	173.04
100	XZYL	Mined land	3.714433221	97.75205333	31.41093	4580	-0.2	522	815.2933534	12.92588382	8.22	0.153	0.132343521	18.69512182	127.2645	0
101	GDFK	Mined land	3.587837146	113.6612883	25.04437167	138	20.3	1504	202.036108	0.503317686	1.949	11.007	3.48830301	0	164.21	0
102	YNHZ	Mined land	3.522178015	103.7235033	26.64356167	2520	10.6	944	131.8137039	1.115714815	7.768	1.099	0.362292176	17.59874357	133.245	0
103	NMGBY	Mined land	3.462927126	118.9342017	44.44348167	976	2.1	394	381.6743054	0.9382071	8.723	0.269	0.065534669	1.760815469	59.155	0
104	GSCB	Mined land	3.349854746	105.714205	33.94689333	1512	10.9	641	552.1158757	2.691300105	7.243	2.274	0.52753549	3.322442239	94.8935	28.3984
105	GXND	Mined land	3.042420747	107.6224217	24.834055	449	19.8	1407	1935.705343	74.47049274	5.507	1.506	0.743765563	0	4.22152	16.6785
