	long	lat	group
156	123.2412109	53.55335236	0.1
157	123.2582016	53.55661774	0.1
158	123.2722473	53.55792618	0.1
159	123.286293	53.55661774	0.1
160	123.3009872	53.55465698	0.1
161	123.3114471	53.55367661	0.1
162	123.3212509	53.5513916	0.1
163	123.3287735	53.54943085	0.1
164	123.3375931	53.54681778	0.1
165	123.348053	53.54256821	0.1
166	123.3611069	53.53995514	0.1
167	123.3800735	53.53538132	0.1
168	123.3986893	53.53407669	0.1
169	123.4140396	53.53440094	0.1
170	123.4284134	53.53407669	0.1
171	123.4388733	53.53309631	0.1
172	123.4470367	53.52982712	0.1
173	123.4506302	53.52460098	0.1
174	123.4542236	53.52067947	0.1
175	123.4597778	53.51218414	0.1
176	123.4656601	53.50761032	0.1
177	123.4708862	53.50173187	0.1
178	123.477417	53.49781036	0.1
